Название,Вымышленный автор,Автор,Редкость,Тип,Архетип,Общение,Интеллект,Самоотверженность,Здоровье,Способности,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,URL в игре,Текст
Воспитанный кобольд,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",низкий,нерешительный,500,"едок,боец,трусливый,страшный,тщедушный,вьючный,самостоятельный,таран",живая плоть,"худой,кожа: ороговевшая,горбящийся,глаза: жёлтые",2 ноги,гуманоидное,маленький,вертикальное,палка (урон: ударный; материал: дерево; тип силы: равновесие),https://the-tale.org/guide/companions/150,"
> Некоторые жители Пандоры живут тем, что ловят маленьких кобольдов, ещё детёнышей, и воспитывают из них прислугу. Как правило, народ не любит кобольдов по вполне понятным причинам, но вот некоторые странствующие герои иногда берут с собой этих дикарей. Воспитанные с детства, они верны хозяину и всегда готовы услужить ему.

"
Деревянный человек,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,героический,300,"временный,не жилец,грузовой",дерево,кожа: кора,2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: дерево; тип силы: ближе к физике),https://the-tale.org/guide/companions/146,"
> Перенос небольших грузов – единственное, к чему приспособлен этот конструкт. Деревянный человек слишком дорог в изготовлении, чтобы работать в поле или шахте. Его даже трудно назвать механизмом, так как принцип его движения основан исключительно на магии. Но некоторые герои, любители раритетов и внимания прохожих, с удовольствием его приобретут.

"
Филин,нет,Александр и Елена,эпический спутник,животные,воин,жестовое,инстинкты,нерешительный,400,"острый глаз,едок,летающий,связной,самостоятельный",живая плоть,крылья: пернатые,парит над землёй,птичье,крохотный,горизонтальное,когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),https://the-tale.org/guide/companions/124,"
> Филины, даже не будучи особо послушными, завоевали популярность среди ходоков. Сидящая на плече красивая птица прибавляет образу хозяина таинственности и престижа. К тому же, филины способны предупреждать об опасностях пути.

"
Бывший писарь,нет,Александр и Елена,обычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,нерешительный,300,"миролюбивый,едок,неповоротливый,вьючный,известный",живая плоть,торс: хилый,2 ноги,гуманоидное,средний,вертикальное,нож (урон: колющий / режущий; материал: металл; тип силы: ближе к магии),https://the-tale.org/guide/companions/133,"
> Писарь – особая профессия. Писари немало знают о значимых господах, особенно если служили при городских Советах. Некоторые из них уходят на пенсию, других выгоняют, третьи просто решают сменить работу. Такой бывший писарь – находка для героя-ходока, ведь это много полезных знакомых, а значит, хорошие деньги за работу и возможность помочь друзьям.

"
Каурая кляча,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,нерешительный,300,"тщедушный,скакун,трусливый,едок,грузовой,ловкий",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/39,"
> Ничем не примечательная лошадь. Она неприхотлива, сообразительна. Учитывая цену на это верховое животное, пугливость каурой клячи сложно рассматривать как серьёзный недостаток.

"
Проповедник,нет,Александр и Елена,обычный спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,храбрый,300,"едок,мудрый,лекарь,воодушевление,нелюдимый",живая плоть,"глаза: безумные,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к физике),https://the-tale.org/guide/companions/82,"
> Народы Пандоры должны знать своих Богов и их заповеди. Как этого добиться? Как донести веру до всех деревень и поселений, находящихся в отдалении от центров цивилизации? Это работа проповедников. Служители храмов странствуют по всей Пандоре, читая проповеди в самых дальних её уголках. Такие путешествия непродолжительны, но опасны, поэтому проповедники просят о помощи славных героев.

"
Весёлый шаман,нет,Александр и Елена,обычный спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,нерешительный,500,"упрямый,торгаш,телепортатор,шумный,хам,нелюдимый",живая плоть,"глаза: безумные,одежда: шкуры",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: равновесие),https://the-tale.org/guide/companions/86,"
> Неординарность шаманов известна по всей Пандоре. Чудаковатые орки не всегда находят понимание даже среди соплеменников, что уж говорить о представителях иных рас? Однако, герои, зачастую сами будучи не от мира сего, неплохо ладят с весёлыми шаманами, решившими попутешествовать... При этом, стоит помнить, что в большинство городов опасных, порой не вполне здоровых орков не пускают.

"
Глиняный барибал,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,доблестный,500,"неповоротливый,таран,громила",глина,"торс: мощный,глаза: светятся,толстый",4 лапы,медвежье,большой,горизонтальное,"когти (урон: рвущий; материал: камень; тип силы: физическая),клыки (урон: кусательный; материал: камень; тип силы: физическая)",https://the-tale.org/guide/companions/33,"
> Медведь барибал – сам по себе опасный хищник, и уж тем более опасен конструкт, созданный по его образу и подобию, но не чувствующий ни боли, ни страха. Конечно, глина – один из самых непрочных материалов для создания магомеханических спутников, однако данный проект оказался успешным, а полученные экземпляры весьма надёжными и функциональными.

"
Игреневый рысак,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,храбрый,500,"миролюбивый,вьючный,едок,редкий,быстроногий,самостоятельный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/42,"
> Прекрасной породы и красивой масти конь один из лучших спутников любому герою. Игреневые рысаки ценятся по всей Пандоре за миролюбивый нрав и скорость. У этих скакунов длинные ноги, тонкая шея и лёгкий бег, а также, что очень важно для путешественников, они не пугливы и не впадают в панику даже при виде хищника.

"
Мутировавший алет,нет,Александр и Елена,необычный спутник,чудовища,авантюрист,жестовое,инстинкты,нерешительный,500,"агрессивный,неповоротливый,летающий,прожорливый,боец,страшный,регенерация,самостоятельный",живая плоть,"крылья: пернатые,уродливый,худой,глаза: красные",парит над землёй,птичье,маленький,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: ближе к физике),https://the-tale.org/guide/companions/93,"
> Эксперименты с магией и алхимией порой приводят к неожиданным результатам. Пример тому – мутировавший в неизвестных лабораториях алет. Эта птица мало чем напоминает алета обычного. У неё серо-чёрные перья, болезненного вида красные глаза и ускоренный метаболизм, который приводит не только к повышенному аппетиту и быстрой регенерации, но и вызывает частую смену оперения. Полулысая птица со вздорным, агрессивным характером вызывает мало симпатии у обывателя, но герои-ходоки ценят её неустрашимость в бою и зоркий глаз разведчика на тракте.

"
Нищий паломник,нет,Александр и Елена,необычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,смелый,300,"бодрость духа,прилив сил,едок,вьючный,самостоятельный,поклонник",живая плоть,"худой,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: равновесие),https://the-tale.org/guide/companions/87,"
> Немало в мире тех, кто решил посвятить всю жизнь познанию духовного. Отказываясь от материальных благ, они жертвуют имущество храмам или домам скорби и отправляются в длительные путешествия по всему свету. Их паломничество может продолжаться годами, а порой и всю жизнь. Впрочем, те нищие паломники, которые странствуют в одиночестве, живут не очень долго.

"
Механический мул,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,храбрый,500,"грузовой,неповоротливый,ездовой",металл,толстый,4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/103,"
> Герои пандорских дорог практически никогда не пользуются обычными мулами, предпочитая им металлических конструктов, более надёжных и менее прихотливых. Те путешественники, которые по каким-то причинам недолюбливают механизмы, выберут другое верховое животное, нежели мула.

"
Чёрный аргамак,нет,Александр и Елена,легендарный спутник,животные,воин,жестовое,гений,героический,700,"честный,агрессивный,едок,быстроногий,боец,таран,громила",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/113,"
> Чёрный аргамак рождён для боя и погони. Это быстрый, могучий и свирепый конь. Он очень вынослив и резв на галопе, превосходен на всех аллюрах. Этот конь никого и ничего не боится, ему просто не приходит в голову, что кто-то может быть быстрее и сильнее его. В бою чёрный аргамак бьёт передними копытами, кусается и лягается. Сладить с таким скакуном может далеко не каждый воин, но если конь признает всадника, то разлучить их не сможет даже смерть. Говорят, что в небытие конь и всадник очень часто уходят вместе, и не было ещё случая, чтобы владелец чёрного аргамака умер от старости в своей постели. Этот конь – одно из немногих существ в этом мире, которое будет ценить твою жизнь дороже своей.

"
Колдунья,нет,Александр и Елена,редкий спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,храбрый,300,"поджигатель,едок,отравитель,морозко,телепортатор",живая плоть,"худой,одежда: хорошо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к магии),https://the-tale.org/guide/companions/157,"
> Как известно, магическая Сила не зависит от пола. И если в магию, как науку, женщинам пробиться сложно, то с колдовством от природы дела обстоят иначе. Странствующие колдуньи встречаются не реже колдунов и Силой обладают не меньшей. Конечно, у мужчин есть небольшие преимущества в виде отношения обывателей, но на тракте все равны, и герои-ходоки это знают. Они охотно берут в спутницы колдуний.

"
Чёрный верблюд,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,храбрый,500,"скакун,едок,редкий,самостоятельный,грузовой",живая плоть,"шерсть: жёсткая,шерсть: средней длины",4 лапы,лошадиное,большой,горизонтальное,нога (урон: ударный; материал: кожа; тип силы: физическая),https://the-tale.org/guide/companions/140,"
> У одногорбых верблюдов есть породы, которые десятилетиями выводили орки пустынь. Одними из лучших считаются чёрные верблюды. Эти животные крупнее прочих собратьев и имеют шерсть от тёмно-коричневой до угольно-чёрной, они неутомимы в странствиях и бесстрашны в приключениях, без которых эти странствия не обходятся.

"
Белый боевой конь,нет,Александр и Елена,эпический спутник,животные,воин,жестовое,инстинкты,героический,700,"честный,агрессивный,скакун,едок,вьючный,боец,телохранитель,таран",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/97,"
> Обладание белой боевой лошадью всегда считалось особым шиком. Персонажи легенд и баллад спасают девиц из башен сумасшедших колдунов верхом именно на таких, огромного роста, белоснежных конях с роскошными, ухоженными, заплетёнными в косы гривами и длинными, развивающимися на ветру хвостами. Настоящий герой не постоит за ценой, чтобы приобрести такого спутника: верного, сильного, выносливого и… прекрасного.

"
Серебряная сова,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,нерешительный,500,"дорогой,неуклюжий,сложный,летающий,острый глаз",металл,крылья: пернатые,парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: металл; тип силы: ближе к физике),https://the-tale.org/guide/companions/63,"
> Надёжный, прочный и статусный конструкт – серебряная сова. Магомеханическая птица невелика, чуть больше голубя, но очень красива, благодаря сверкающим на солнце перьям, покрытым узорной вязью.

"
Кречет,нет,Александр и Елена,обычный спутник,животные,авантюрист,жестовое,инстинкты,нерешительный,300,"едок,летающий,острый глаз,временный,ленивый",живая плоть,"крылья: пернатые,глаза: жёлтые",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: равновесие),https://the-tale.org/guide/companions/123,"
> Многие любят использовать хищных птиц в качестве помощников в путешествиях. Кречет – яркий тому пример. Это один из самых популярных и легко дрессируемых спутников по всей Пандоре. Птица обладает отличным зрением и, наблюдая сверху за дорогой, может предупредить об опасности.

"
Дрессированный кот,нет,Александр и Елена,обычный спутник,животные,авантюрист,жестовое,инстинкты,нерешительный,300,"ловкий,милый,едок,тщедушный,самостоятельный,острый глаз",живая плоть,"шерсть: короткая,хвост",4 лапы,кошачье,крохотный,горизонтальное,когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),https://the-tale.org/guide/companions/6,"
> Довольно редкое явление – дрессированный кот. Кошки плохо поддаются дрессуре, но если всё же удаётся научить кота показывать разные трюки, выполнять команды, то, как правило, зрителям это нравится. Народ умиляется, глядя на забавных животных, и всегда готов подкинуть артисту пару монет на что-нибудь вкусненькое «для милашки».

"
Орочья гончая,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,смелый,400,"агрессивный,ловкий,ленивый,едок,боец,острый глаз,телохранитель",живая плоть,"худой,хвост,шерсть: средней длины",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: физическая),https://the-tale.org/guide/companions/13,"
> Орочья гончая весьма популярна у охотников и отличается легкостью в разведении.У этой породы множество достоинств: ум, преданность хозяину, длинные быстрые лапы, превосходный нюх. Стоит также отметить невысокую цену, которую орки-заводчики просят за рыжих с подпалинами щенков.

"
Двугорбый верблюд,нет,Александр и Елена,эпический спутник,животные,воин,жестовое,инстинкты,храбрый,600,"сдержанный,едок,быстроногий,тягловой,самостоятельный",живая плоть,шерсть: длинная,4 копыта,лошадиное,большой,горизонтальное,нога (урон: ударный; материал: кожа; тип силы: физическая),https://the-tale.org/guide/companions/139,"
> Очень полезный спутник для героя, часто путешествующего по пустыням – двугорбый верблюд, неприхотливый и выносливый. Там, где не пройдёт лошадь или конструкт, приспособленный для трактов, там пройдёт верблюд. Нет другого верхового животного, способного двигаться сутками без дорог, без сна и отдыха и нести груз, который под силу целому каравану. Самый главный плюс – корабль пустыни всегда выйдет к оазису, чем, порой, может спасти жизнь герою.

"
Ручной кугуар,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,храбрый,300,"агрессивный,ловкий,острый глаз,камуфляж,едок,боец",живая плоть,"шерсть: короткая,хвост,глаза: жёлтые",4 лапы,кошачье,маленький,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/27,"
> Этот редкий вид пумы обитает в тёплых невысоких горах и предгорьях. Кугуары редко нападают на путников, так как не выходят к трактам и поселениям, при этом они удивительно легко приручаются. Рыжие кошки хоть и не выделяются размерами или силой, но довольно агрессивны. Они стали бы, вероятно, крайне популярными спутниками многих героев, если бы встречались в природе чаще. Но, к сожалению, численность их невелика, а размножение в неволе пока не имеет успеха.

"
Заговорённая гадюка,нет,Александр и Елена,обычный спутник,хладнокровные гады,маг,жестовое,инстинкты,храбрый,300,"регенерация,нелюдимый,едок,отравитель",живая плоть,"кожа: чешуя,хвост",ползает по змеиному,змеиное,крохотный,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),https://the-tale.org/guide/companions/77,"
> Змеи очень плохо поддаются дрессировке, хотя мастера над этим работают давно и усердно, в основном, в орочьих поселениях. Существенных успехов добиться пока не удалось, но там, где не справляются традиционные методы, порой помогает магия. Специальные заговоры и заклятья делают гадюк вполне послушными и пригодными для использования в бою. Конечно, такая змея получается слишком дорогой, чтобы встречаться повсеместно, а заговорить её самостоятельно могут лишь единицы. Ещё один минус такой спутницы в том, что она боится скопления народа и шума. Как следствие, в городе заговорённая гадюка может уползти от хозяина, не взирая на дрессировку и магию.

"
Медлительный кадьяк,нет,Александр и Елена,эпический спутник,конструкты,воин,жестовое,рефлексы,храбрый,600,"дорогой,боец,медлительный,сложный,таран,громила",металл,"торс: мощный,зубы: клыки",4 лапы,медвежье,большой,горизонтальное,"когти (урон: рвущий; материал: металл; тип силы: физическая),клыки (урон: кусательный; материал: металл; тип силы: физическая)",https://the-tale.org/guide/companions/36,"
> Дорогостоящий, сложно устроенный конструкт, хороший помощник в приключениях. Он силён и послушен, внушительно выглядит. И всё же многие скажут, что этот металлический медведь “на любителя”, ведь у него есть существенный недостаток – медлительность, и нередкие задержки в пути немного портят репутацию кадьяка.

"
Серая пума,нет,Александр и Елена,эпический спутник,животные,воин,жестовое,инстинкты,доблестный,500,"боец,ленивый,стремительный,едок,острый глаз,пожиратель,громила,самостоятельный",живая плоть,"шерсть: короткая,зубы: клыки,хвост",4 лапы,кошачье,средний,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: физическая),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/25,"
> Редкий вид дикой горной кошки. Этот опасный хищник обладает великолепным слухом и зрением и предупредит хозяина об опасности, правда, если захочет. Собственно, непокорность серой пумы – главный аргумент противников приручения этих животных.

"
Каменный дварф,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,храбрый,600,"боец,неповоротливый,вьючный",камень,торс: мощный,2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: камень; тип силы: физическая),https://the-tale.org/guide/companions/110,"
> Грузный, коренастый, словно грубо вытесанный из гранита, этот каменный голем фигурой напоминает дварфа, как его обычно и называют. Хоть и не столь крепкий, как железный, этот конструкт весьма и весьма надёжен и долговечен. Плюс каменного голема – довольно мощная атака, минус – необходимо обладать опытом обращения с магомеханическими созданиями, чтобы использовать его эффективно.

"
Савраска,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,смелый,300,"агрессивный,ездовой,едок,вьючный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/163,"
> Лошадей одной из пород, саврасой масти и приспособленных к бою, многие называют просто саврасками. Эти норовистые крупные скакуны – любимцы многих искателей приключений.

"
Бумажный аист,нет,Александр и Елена,обычный спутник,конструкты,маг,жестовое,рефлексы,нерешительный,300,"не жилец,острый глаз,летающий,стремительный",бумага,"худой,крылья: каркасные",парит над землёй,птичье,маленький,горизонтальное,клюв (урон: ударный / рвущий; материал: дерево; тип силы: ближе к магии),https://the-tale.org/guide/companions/37,"
> Стоит ли говорить о хрупкости этого конструкта? Склеенный из ивовых прутиков и бумаги, наделённый весьма слабой магией, аист хорошо выполняет функции наблюдателя, но, увы, недолго. Бумажные птицы столь дёшевы, что порой их покупают, как игрушки для детей, Однако для начинающего ходока, ограниченного в средствах, нет лучшего спутника в дороге.

"
Северный олень,нет,Александр и Елена,легендарный спутник,животные,маг,жестовое,инстинкты,храбрый,600,"добросовестный,скакун,особый,едок,самостоятельный,связной,вьючный,воодушевление",живая плоть,"шерсть: короткая,рога: большие",4 копыта,лошадиное,большой,горизонтальное,рога (урон: колющий / ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/5,"
> Северный олень – красивое и гордое животное. Он никогда и никому не покоряется. Есть, конечно, слухи об орках кочевниках, живущих в снежных пустынях и сумевших приручить оленей, но это не более, чем слухи. Северный олень – достаточно большой, чтобы возить орка на спине, совершенно дикий и своенравный зверь.

"
Скорпион Унура,нет,Александр и Елена,необычный спутник,насекомые,воин,жестовое,рефлексы,доблестный,500,"отравитель,едок,ездовой,боец,вьючный",плоть насекомого,"глаза: чёрные (без белков),хвост,кожа: хитин",6 лап,скорпионье,большой,горизонтальное,"жало на хвосте (урон: колющий; материал: хитин; тип силы: равновесие),клешня (урон: рвущий / режущий; материал: хитин; тип силы: физическая)",https://the-tale.org/guide/companions/50,"
> Несомненно, одни из самых непригодных существ для воспитания спутников – это насекомые, пауки и им подобные. Но и здесь нашла своё применение магия. Орк Унур, малоизвестный при жизни шаман, вывел удивительную породу скорпионов. Скорпион Унура был обнаружен уже после смерти шамана и назван в его честь. Эти создания сильно отличаются от скорпионов, живущих в дикой природе: они гораздо крупнее и сильнее, но медлительны, что крайне осложняет им охоту и пропитание. Долгое время не удавалось понять, с какой целью Унур вывел этих скорпионов, потратив огромные усилия, пока в одном из городов не был пойман мародёр, пытавшийся продать странное седло. Выяснилось, что преступник ограбил жилище Унура сразу после смерти шамана и унёс всё, что смог, и седло в том числе. Невероятная догадка быстро подтвердилась – скорпионы Унура ездовые. Они плохо размножаются, не столь ядовиты, как обычные, но поддаются дрессировке и отлично себя чувствуют под седлом, надо заметить, весьма удобным для длительных путешествий благодаря широкой спинке и подлокотникам.

"
Беглый каторжник,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,нерешительный,300,"подлый,миролюбивый,хам,грузовой,едок,пьяница,боец,карманник",живая плоть,"худой,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,нож (урон: колющий / режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/45,"
> Если есть цивилизация, то есть законы. Если есть законы, то есть преступники. Если есть преступники, то есть каторга. Если есть умирающие на каторге, то есть и те, кто с неё бежит. Их, беглецов, может остановить арбалетный болт в спину, но кое-кому всё-таки удаётся скрыться от погони. Беглому каторжнику приходится искать еду, деньги, ему нужно поскорее убраться куда-нибудь подальше от окрестностей каторги. Это очень трудно, ведь природа Пандоры смертельно опасна, и некоторые беглецы просят помощи у странствующих героев. Те часто соглашаются на компанию в дороге, чтобы было хоть с кем-то поболтать.

"
Неподъёмный осёл,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,нерешительный,700,"медлительный,неуклюжий,тягловой,сложный,таран",металл,толстый,4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/66,"
> Герои пандорских дорог практически никогда не пользуются обычными мулами, предпочитая им металлических конструктов, более надёжных и менее прихотливых. Те путешественники, которые по каким-то причинам недолюбливают механизмы, выберут другое верховое животное, нежели мула.

"
Ослик,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,нерешительный,400,"строптивый,агрессивный,неповоротливый,степенный,тягловой,едок,связной,острый глаз",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,средний,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/67,"
> Серые ослики распространены по всей Пандоре. Они выносливы, хорошо плодятся, едят немного, неприхотливы и стоят недорого. Все эти плюсы с лихвой перекрывают единственный минус – трудность дрессировки.

"
Лучница,нет,Александр и Елена,необычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,нерешительный,500,"боец,едок,охотник,острый глаз",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,"лук (урон: стрелковый колющий; материал: дерево; тип силы: ближе к физике),нож (урон: колющий / режущий; материал: металл; тип силы: ближе к физике)",https://the-tale.org/guide/companions/69,"
> Самые острые конфликты решаются на длине меча, и обычная женщина тут не поспорит в силе с мужчиной. Так было, есть и будет. Но воин, у которого за спиной есть поддержка стрелка, имеет огромное преимущество перед противником. И вот тут-то, с луком, где важна меткость, а вовсе не крепость рук, женщины ничем не уступают мужчинам. Не стоит удивляться тому, что многие девушки, особенно из народа эльфов, лишаясь кормильцев или не имея их с детства, выходят на широкий тракт и познают опасную жизнь наёмника.

"
